trial,trial_dir,seed_base,trial_seed_master
1,/project/data/scenario1/bootstrap/trial_0001,4869,14869
2,/project/data/scenario1/bootstrap/trial_0002,4869,24869
3,/project/data/scenario1/bootstrap/trial_0003,4869,34869
4,/project/data/scenario1/bootstrap/trial_0004,4869,44869
5,/project/data/scenario1/bootstrap/trial_0005,4869,54869
6,/project/data/scenario1/bootstrap/trial_0006,4869,64869
7,/project/data/scenario1/bootstrap/trial_0007,4869,74869
8,/project/data/scenario1/bootstrap/trial_0008,4869,84869
9,/project/data/scenario1/bootstrap/trial_0009,4869,94869
10,/project/data/scenario1/bootstrap/trial_0010,4869,104869
11,/project/data/scenario1/bootstrap/trial_0011,4869,114869
12,/project/data/scenario1/bootstrap/trial_0012,4869,124869
13,/project/data/scenario1/bootstrap/trial_0013,4869,134869
14,/project/data/scenario1/bootstrap/trial_0014,4869,144869
15,/project/data/scenario1/bootstrap/trial_0015,4869,154869
16,/project/data/scenario1/bootstrap/trial_0016,4869,164869
17,/project/data/scenario1/bootstrap/trial_0017,4869,174869
18,/project/data/scenario1/bootstrap/trial_0018,4869,184869
19,/project/data/scenario1/bootstrap/trial_0019,4869,194869
20,/project/data/scenario1/bootstrap/trial_0020,4869,204869
21,/project/data/scenario1/bootstrap/trial_0021,4869,214869
22,/project/data/scenario1/bootstrap/trial_0022,4869,224869
23,/project/data/scenario1/bootstrap/trial_0023,4869,234869
24,/project/data/scenario1/bootstrap/trial_0024,4869,244869
25,/project/data/scenario1/bootstrap/trial_0025,4869,254869
26,/project/data/scenario1/bootstrap/trial_0026,4869,264869
27,/project/data/scenario1/bootstrap/trial_0027,4869,274869
28,/project/data/scenario1/bootstrap/trial_0028,4869,284869
29,/project/data/scenario1/bootstrap/trial_0029,4869,294869
30,/project/data/scenario1/bootstrap/trial_0030,4869,304869
31,/project/data/scenario1/bootstrap/trial_0031,4869,314869
32,/project/data/scenario1/bootstrap/trial_0032,4869,324869
33,/project/data/scenario1/bootstrap/trial_0033,4869,334869
34,/project/data/scenario1/bootstrap/trial_0034,4869,344869
35,/project/data/scenario1/bootstrap/trial_0035,4869,354869
36,/project/data/scenario1/bootstrap/trial_0036,4869,364869
37,/project/data/scenario1/bootstrap/trial_0037,4869,374869
38,/project/data/scenario1/bootstrap/trial_0038,4869,384869
39,/project/data/scenario1/bootstrap/trial_0039,4869,394869
40,/project/data/scenario1/bootstrap/trial_0040,4869,404869
41,/project/data/scenario1/bootstrap/trial_0041,4869,414869
42,/project/data/scenario1/bootstrap/trial_0042,4869,424869
43,/project/data/scenario1/bootstrap/trial_0043,4869,434869
44,/project/data/scenario1/bootstrap/trial_0044,4869,444869
45,/project/data/scenario1/bootstrap/trial_0045,4869,454869
46,/project/data/scenario1/bootstrap/trial_0046,4869,464869
47,/project/data/scenario1/bootstrap/trial_0047,4869,474869
48,/project/data/scenario1/bootstrap/trial_0048,4869,484869
49,/project/data/scenario1/bootstrap/trial_0049,4869,494869
50,/project/data/scenario1/bootstrap/trial_0050,4869,504869
51,/project/data/scenario1/bootstrap/trial_0051,4869,514869
52,/project/data/scenario1/bootstrap/trial_0052,4869,524869
53,/project/data/scenario1/bootstrap/trial_0053,4869,534869
54,/project/data/scenario1/bootstrap/trial_0054,4869,544869
55,/project/data/scenario1/bootstrap/trial_0055,4869,554869
56,/project/data/scenario1/bootstrap/trial_0056,4869,564869
57,/project/data/scenario1/bootstrap/trial_0057,4869,574869
