"Parameter","Scenario1 Federated","Scenario1 Site1","Scenario1 Site2","Scenario1 Site3","Scenario1 Weighted","Scenario1 Centralized","Scenario2 Federated","Scenario2 Site1","Scenario2 Site2","Scenario2 Site3","Scenario2 Weighted","Scenario2 Centralized"
"KA",9.63474836053453,8.13612532742711,205.331871208686,193.814786072,"55.4779025338835",9.54890969342692,9.69294103562025,6.06157085501641,12.8824456028758,11.2463213261586,"9.14822244011809",9.54890969342692
"CL",8.76342508000991,9.06182700460068,7.74522029818189,8.5102890560884,"8.48359119517943",8.78423007173445,8.76360800176701,8.51573771715268,8.87730335236704,9.13295590088075,"8.80555303469533",8.78423007173445
"V",19.3543583434257,18.1801051579908,18.1144807988726,18.3933818600904,"18.2240458658135",19.4402117870833,19.3553670995157,17.270001572032,18.3363737941641,21.5330453797612,"18.7863592746698",19.4402117870833
"omega2_cl",0.10549531794,0.115376873719104,0.0359106849748973,0.0597736965620105,"0.0790855600578562",0.104907498512821,0.10571622944,0.0933536152652125,0.0497142776510057,0.102527432264095,"0.0838815468302333",0.104907498512821
"omega_cl_v",0.061241396937,0.0763717970649976,0.000394330544904451,0.0182705301335283,"0.0362579562153727",0.0639013320160262,0.061097207712,0.0609559305213484,0.00130027551973713,0.048452684131953,"0.041870348018968",0.0639013320160262
"omega2_v",0.035827319849,0.0509077235796686,0.000837487183387642,0.0301508365777241,"0.0296984900022695",0.0404443691692501,0.035451937762,0.0949928554125614,0.00317060484734952,0.023715661798225,"0.054658736201061",0.0404443691692501
"rho_cl_v",0.996142192488949,0.996510290268193,0.0719050660588557,0.430374378208995,"0.748148033413938",0.981019437420315,0.997999999068068,0.647298981211128,0.103567563622568,0.982607729314468,"0.618363095361498",0.981019437420315
"sigma2_prop",0.12793515809963,0.10556599120678,0.163941557797866,0.114743894834862,"0.12583203227253",0.129015155840272,0.127888220786338,0.0955604530090729,0.126605317471783,0.123630604457054,"0.11329495778228",0.129015155840272
"sh_eta_cl_pct",10.8107213751635,8.73944044856712,17.9916517904412,8.40237668578684,"",11.0843986908049,10.8174338425223,10.9372239061198,11.1791297138251,9.68282232460079,"",11.0843986908049
"sh_eta_v_pct",11.2929614997485,9.15208273465983,89.1306479310057,44.5639264332333,"",13.4847948336435,11.0672757783827,19.6275347483871,77.9837603554329,11.6909128860252,"",13.4847948336435
