"Parameter","Scenario1 Federated","Scenario1 Site1","Scenario1 Site2","Scenario1 Site3","Scenario1 Weighted","Scenario1 Centralized","Scenario2 Federated","Scenario2 Site1","Scenario2 Site2","Scenario2 Site3","Scenario2 Weighted","Scenario2 Centralized"
"KA","9.63","8.14","205","194","55.5","9.55","9.69","6.06","12.9","11.2","9.15","9.55"
"CL","8.76","9.06","7.75","8.51","8.48","8.78","8.76","8.52","8.88","9.13","8.81","8.78"
"V","19.4","18.2","18.1","18.4","18.2","19.4","19.4","17.3","18.3","21.5","18.8","19.4"
"omega2_cl","0.105","0.115","0.0359","0.0598","0.0791","0.105","0.106","0.0934","0.0497","0.103","0.0839","0.105"
"omega_cl_v","0.0612","0.0764","0.000394","0.0183","0.0363","0.0639","0.0611","0.061","0.0013","0.0485","0.0419","0.0639"
"omega2_v","0.0358","0.0509","0.000837","0.0302","0.0297","0.0404","0.0355","0.095","0.00317","0.0237","0.0547","0.0404"
"rho_cl_v","0.996","0.997","0.0719","0.43","0.748","0.981","0.998","0.647","0.104","0.983","0.618","0.981"
"sigma2_prop","0.128","0.106","0.164","0.115","0.126","0.129","0.128","0.0956","0.127","0.124","0.113","0.129"
"sh_eta_cl_pct","10.8","8.74","18","8.4","NA","11.1","10.8","10.9","11.2","9.68","NA","11.1"
"sh_eta_v_pct","11.3","9.15","89.1","44.6","NA","13.5","11.1","19.6","78","11.7","NA","13.5"
