"iter","objf","lcl","lvc","etaLcl","etaLvc","X.etaLcl.etaLvc.","CcPropSd"
1,1141.8484,0.8329,2.3026,-1.89711998488588,-1.89711998488588,0.693147180559945,-1.8773173575897
2,1451.9469,0.124310096151877,2.19529314686669,-1.92219111941099,-1.91136034858016,0.713719304471693,-1.18080387932214
3,1182.1937,0.63003288299692,2.27187837694045,-1.90429777383473,-1.90119695735196,0.699036916563721,-1.67790768420518
4,1145.7951,0.774955061664546,2.29382498224429,-1.89917017687446,-1.89828449060584,0.694829465962294,-1.82035996893817
5,1142.2223,0.81881132382077,2.30046645068269,-1.89761846658009,-1.89740312167865,0.693556209803147,-1.86346879328404
6,1141.8978,0.829810766514987,2.30213217520872,-1.89722928730165,-1.89718206848053,0.693236868676726,-1.87428077359642
7,1141.8575,0.832243373525654,2.30250056234182,-1.89714321746453,-1.89713318095282,0.693166244056505,-1.8766719219335
8,1141.8504,0.832761437064304,2.30257901642049,-1.89712488748184,-1.89712276955243,0.693151203385937,-1.87718115616801
9,1141.8489,0.832870813164361,2.30259558002807,-1.89712101756653,-1.89712057144681,0.693148027926237,-1.87728866818233
10,1141.8486,0.832893858498659,2.30259906994839,-1.89712020218281,-1.89712010831018,0.693147358862975,-1.87731132075734
11,1141.8485,0.832898712868615,2.30259980508046,-1.89712003042681,-1.89712001075306,0.693147217928565,-1.87731609239477
12,1141.8484,0.832899733302396,2.30259995961207,-1.8971199943221,-1.89711999024564,0.693147188302839,-1.8773170954374
13,1141.8484,0.832899943717067,2.30259999147667,-1.89711998687727,-1.89711998601699,0.693147182193979,-1.87731730226599
14,1141.8484,0.832899988122254,2.30259999820127,-1.89711998530614,-1.89711998512459,0.693147180904786,-1.87731734591439
15,1141.8484,0.832899997493364,2.3025999996204,-1.89711998497457,-1.89711998493626,0.693147180632719,-1.87731735512579
16,1141.8484,0.832899999471009,2.30259999991989,-1.8971199849046,-1.89711998489651,0.693147180575303,-1.87731735706973
17,1141.8484,0.832899999888364,2.30259999998309,-1.89711998488983,-1.89711998488812,0.693147180563186,-1.87731735747997
18,1141.8484,0.832899999976441,2.30259999999643,-1.89711998488671,-1.89711998488635,0.693147180560629,-1.87731735756654
19,1141.8484,0.832899999995028,2.30259999999925,-1.89711998488606,-1.89711998488598,0.69314718056009,-1.87731735758481
20,1141.8484,0.832899999998951,2.30259999999984,-1.89711998488592,-1.8971199848859,0.693147180559976,-1.87731735758867
21,1141.8484,0.832899999999779,2.30259999999997,-1.89711998488589,-1.89711998488589,0.693147180559952,-1.87731735758948
