scenario,method,successful,attempted,parameter,source_parameter,scale_multiplier,median,p2.5,p97.5
scenario1,Federated,499,500,$\theta_{KA}$,KA,1.0,9.543966924682666,7.427572044822553,13.372704924069108
scenario1,Federated,499,500,$\theta_{CL}$,CL,1.0,8.819584516343168,8.173777709832223,9.479026866311393
scenario1,Federated,499,500,$\theta_V$,V,1.0,19.40993310517433,17.96274651497845,20.935795010118074
scenario1,Federated,499,500,$\omega_{CL}^2$,omega2_cl,1.0,0.104389481016913,0.0723030184760889,0.13843564665790967
scenario1,Federated,499,500,"$\omega_{CL,V}$",omega_cl_v,1.0,0.0608299212181767,0.0388995931902714,0.08274373691843488
scenario1,Federated,499,500,$\omega_V^2$,omega2_v,1.0,0.0370719834794479,0.0188653804113297,0.05651076650732039
scenario1,Federated,499,500,"$\rho_{CL,V}$",rho_cl_v,1.0,0.97937302733327,0.9607005338289983,0.9862859974796145
scenario1,Federated,499,500,$\sigma_{\mathrm{prop}}^2\times 10^3$,sigma2_prop,1000.0,125.91551203093468,100.95200349016395,155.35208452906863
scenario1,Centralized,500,500,$\theta_{KA}$,KA,1.0,9.54528579558416,7.42555732211796,13.3439540856689
scenario1,Centralized,500,500,$\theta_{CL}$,CL,1.0,8.81245977693317,8.17339236069513,9.47525765730667
scenario1,Centralized,500,500,$\theta_V$,V,1.0,19.417223997991,17.95539797038,20.9225835771812
scenario1,Centralized,500,500,$\omega_{CL}^2$,omega2_cl,1.0,0.104549752114087,0.0721108315916327,0.138092675341116
scenario1,Centralized,500,500,"$\omega_{CL,V}$",omega_cl_v,1.0,0.0614000352796926,0.0393698180088156,0.0831597440918957
scenario1,Centralized,500,500,$\omega_V^2$,omega2_v,1.0,0.0373082812007525,0.0190833676785709,0.0564912088423871
scenario1,Centralized,500,500,"$\rho_{CL,V}$",rho_cl_v,1.0,0.979472947381969,0.961004679374398,0.986300717537075
scenario1,Centralized,500,500,$\sigma_{\mathrm{prop}}^2\times 10^3$,sigma2_prop,1000.0,126.066503297831,100.896584419718,155.137661543106
scenario2,Federated,500,500,$\theta_{KA}$,KA,1.0,9.506234095084906,7.440471487387167,12.738408594384738
scenario2,Federated,500,500,$\theta_{CL}$,CL,1.0,8.786099090785424,8.107508802548239,9.519881798805304
scenario2,Federated,500,500,$\theta_V$,V,1.0,19.335173393599163,17.966779659367077,20.70724486813847
scenario2,Federated,500,500,$\omega_{CL}^2$,omega2_cl,1.0,0.103811125628875,0.06918050715031325,0.13717809068286643
scenario2,Federated,500,500,"$\omega_{CL,V}$",omega_cl_v,1.0,0.059949778157142655,0.03769367243618057,0.08329994229717293
scenario2,Federated,500,500,$\omega_V^2$,omega2_v,1.0,0.03642406557616025,0.018587101486511246,0.05658448111766243
scenario2,Federated,500,500,"$\rho_{CL,V}$",rho_cl_v,1.0,0.97899987478704,0.9601516824887483,0.9862961182398978
scenario2,Federated,500,500,$\sigma_{\mathrm{prop}}^2\times 10^3$,sigma2_prop,1000.0,124.7862633100359,99.87167961221662,158.07698475512615
scenario2,Centralized,497,500,$\theta_{KA}$,KA,1.0,9.5034479854,7.4436389046,12.77087415914
scenario2,Centralized,497,500,$\theta_{CL}$,CL,1.0,8.7904173736,8.13341818998,9.529275457239999
scenario2,Centralized,497,500,$\theta_V$,V,1.0,19.3341034482,17.96943249172,20.712526656739996
scenario2,Centralized,497,500,$\omega_{CL}^2$,omega2_cl,1.0,0.10377537356,0.06908667085039999,0.136418785808
scenario2,Centralized,497,500,"$\omega_{CL,V}$",omega_cl_v,1.0,0.060087899283,0.037587560697000005,0.08301206564659999
scenario2,Centralized,497,500,$\omega_V^2$,omega2_v,1.0,0.036654291283,0.0186657601512,0.05631662717399999
scenario2,Centralized,497,500,"$\rho_{CL,V}$",rho_cl_v,1.0,0.97911798635,0.960183897784,0.986259044552
scenario2,Centralized,497,500,$\sigma_{\mathrm{prop}}^2\times 10^3$,sigma2_prop,1000.0,125.09369213,99.799137386,157.433364004
