"Parameter","Scenario1 Federated","Scenario1 Site1","Scenario1 Site2","Scenario1 Site3","Scenario1 Weighted","Scenario1 Centralized"
"KA","9.63","8.14","205","194","55.5","9.55"
"CL","8.76","9.06","7.75","8.51","8.48","8.78"
"V","19.4","18.2","18.1","18.4","18.2","19.4"
"omega2_cl","0.105","0.115","0.0359","0.0598","0.0791","0.105"
"omega_cl_v","0.0612","0.0764","0.000394","0.0183","0.0363","0.0639"
"omega2_v","0.0358","0.0509","0.000837","0.0302","0.0297","0.0404"
"rho_cl_v","0.996","0.997","0.0719","0.43","0.748","0.981"
"sigma2_prop","0.128","0.106","0.164","0.115","0.126","0.129"
"sh_eta_cl_pct","10.8","8.74","18","8.4","NA","11.1"
"sh_eta_v_pct","11.3","9.15","89.1","44.6","NA","13.5"
