"Parameter","Scenario1 Federated","Scenario1 Site1","Scenario1 Site2","Scenario1 Site3","Scenario1 Weighted","Scenario1 Centralized"
"KA",9.63474836053453,8.13612532742711,205.331871208686,193.814786072,"55.4779025338835",9.54890969342692
"CL",8.76342508000991,9.06182700460068,7.74522029818189,8.5102890560884,"8.48359119517943",8.78423007173445
"V",19.3543583434257,18.1801051579908,18.1144807988726,18.3933818600904,"18.2240458658135",19.4402117870833
"omega2_cl",0.10549531794,0.115376873719104,0.0359106849748973,0.0597736965620105,"0.0790855600578562",0.104907498512821
"omega_cl_v",0.061241396937,0.0763717970649976,0.000394330544904451,0.0182705301335283,"0.0362579562153727",0.0639013320160262
"omega2_v",0.035827319849,0.0509077235796686,0.000837487183387642,0.0301508365777241,"0.0296984900022695",0.0404443691692501
"rho_cl_v",0.996142192488949,0.996510290268193,0.0719050660588557,0.430374378208995,"0.748148033413938",0.981019437420315
"sigma2_prop",0.12793515809963,0.10556599120678,0.163941557797866,0.114743894834862,"0.12583203227253",0.129015155840272
"sh_eta_cl_pct",10.8107213751635,8.73944044856712,17.9916517904412,8.40237668578684,"",11.0843986908049
"sh_eta_v_pct",11.2929614997485,9.15208273465983,89.1306479310057,44.5639264332333,"",13.4847948336435
