scenario,trial,n_patients,fit_ok,converged,lka,lcl,lvc,KA,CL,V,omega2_cl,omega_cl_v,omega2_v,rho_cl_v,sigma_prop,sigma2_prop,objf,aic,sh_eta_cl_pct,sh_eta_v_pct,sh_eps_pct,convergence
scenario2,1,100,True,True,2.2609967835,2.1208464709,2.9386161757,9.5926461944,8.3381925386,18.8896882073,0.090627690483,0.046455643603,0.025300361027,0.97016290644,0.33459653746,0.11195484288,2200.1254996154,2765.4886195382,11.0576965881,14.5860833507,11.6823140612,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,2,100,True,True,2.0691430203,2.2176861578,2.956338901,7.9180346147,9.1860511832,19.2274491443,0.11795893952,0.079071905443,0.054540273927,0.98582111789,0.37196523426,0.1383581355,2206.2125660242,2771.575685947,10.8020537965,12.5482954405,11.367958443,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,3,100,True,True,2.4084350687,2.1347378929,2.9798127382,11.1165508874,8.4548301453,19.6841302135,0.11321846668,0.07273434805,0.048256408158,0.98401885325,0.38722519259,0.14994334978,2285.9222788912,2851.285398814,12.0775845303,13.8769175137,10.6550530735,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,4,100,True,True,2.3440913377,2.1181941187,2.9341308536,10.4237967121,8.3161060191,18.8051515996,0.082552354257,0.04368562944,0.024602645974,0.96935522903,0.34296642541,0.11762596896,2237.3519597294,2802.7150796522,12.4104567489,15.9692630066,11.1498542837,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,5,100,True,True,2.4576378337,2.1858699492,3.0221338197,11.6771954588,8.8983863314,20.5350630903,0.12376339622,0.071069636532,0.042334173337,0.98184389328,0.38745351546,0.15012022665,2270.1516507991,2835.5147707219,10.5933362359,12.7568035422,10.9852989334,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,6,100,True,True,2.3514519683,2.1400831981,2.9081638618,10.5008054976,8.5001447957,18.3231238732,0.09578402165,0.058396037306,0.037117577528,0.97937052938,0.32623767978,0.10643102371,2198.8829851018,2764.2461050246,10.4574644468,12.9939095368,12.1370079501,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,7,100,True,True,2.5056822491,2.1900892494,2.9731585006,12.2519149731,8.9360106127,19.5535821653,0.12032865178,0.051974246259,0.023931790568,0.96853669095,0.33563641581,0.11265180362,2192.5609580457,2757.9240779685,7.8603967073,11.7282390309,12.3817988748,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,8,100,True,True,2.14112985,2.226245681,3.0001183452,8.5090461457,9.2650168741,20.0879140917,0.080327370415,0.053082416106,0.036592998031,0.97908390381,0.3742817396,0.1400868206,2206.3900181273,2771.7531380501,15.0099360585,17.4371429564,10.2130083201,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,9,100,True,True,2.232625344,2.1490142573,2.9680415378,9.3243135042,8.5764001055,19.4537827658,0.1048169216,0.06080066543,0.036783428175,0.97918901076,0.32592979051,0.10623022834,2188.9094344968,2754.2725544196,9.9499032132,12.3799925482,12.2361550339,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,10,100,True,True,2.3012191234,2.2208193946,3.0245041746,9.986349629,9.2148783945,20.5837962121,0.093564640616,0.061188665091,0.041537937202,0.98150527724,0.371601254,0.13808749198,2194.3018910363,2759.6650109591,13.3004085038,15.4429415494,10.6726508295,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
