"iter","lka","lcl","lvc","CcPropSd","pchol__omega_cl_v__etaLcl__etaLcl","pchol__omega_cl_v__etaLcl__etaLvc","pchol__omega_cl_v__etaLvc__etaLvc","objf"
1,2.21156569460688,2.11625551480255,2.92852352386054,-1.20497330465952,3.9902390341261,-25.1564682965436,2.22990049292744,2313.176
2,2.17967304459466,1.90275955047378,2.84338174712238,-0.238908822809215,3.89144117401808,-25.1633260678372,2.17454183811484,2491.1271
3,2.20418279583017,2.06683287061112,2.90881386915683,-0.981336940840762,3.96736810304154,-25.1580558169057,2.21708539776477,2288.8891
4,2.19691072208645,2.11430079728995,2.90667129426122,-0.970321355587494,3.96357038431604,-25.1583363604106,2.22200510671595,2289.1876
5,2.200866853999,2.08847743710761,2.9078368914785,-0.976314021488811,3.96563640795308,-25.1581837399681,2.21932870129597,2288.2169
6,2.19694608505147,2.09731021584011,2.91835498240638,-0.978665301286202,3.96438851444447,-25.1582770599083,2.22210220945797,2287.7707
7,2.18491565697205,2.11377608836701,2.93837643945879,-0.970460203971962,3.95854023486871,-25.1587033491489,2.23132091757631,2287.3379
8,2.17928209049253,2.11546272704976,2.94011065168393,-0.965398306086463,3.95488147149098,-25.158967125897,2.23696951217089,2287.2684
9,2.15663284347533,2.11654444244613,2.93942188191769,-0.95642362129184,3.93830243180744,-25.1601629168207,2.2625347213824,2287.0605
10,2.12274995510203,2.11522121010325,2.93367788628815,-0.957801988649764,3.90439237173603,-25.162613847093,2.3050291710222,2286.8162
11,2.10259496931263,2.10075394421693,2.92038467998394,-0.957135164058206,3.83558089255638,-25.1675690444067,2.35128091600451,2286.649
12,2.07891553491852,2.10926592126542,2.90471242539085,-0.961606425281855,3.75662021063655,-25.1732597724411,2.40659958614852,2286.6673
13,2.09111023639442,2.10488232758035,2.91278349934626,-0.959303764883145,3.7972842707792,-25.1703290973074,2.37811095516087,2286.5201
14,2.09910171475691,2.10513130751073,2.9133783754852,-0.966491634231102,3.7922517508071,-25.1706906632576,2.37504671538711,2286.437
15,2.10521200369337,2.10783736378613,2.91684929817587,-0.975958074976697,3.74463650490135,-25.1741124231019,2.39927366304061,2286.3343
16,2.11994399365556,2.1071184258609,2.91714972823734,-0.976609203642899,3.73242311869485,-25.1749869306485,2.40153611722807,2286.2939
17,2.13306735964711,2.10908781586527,2.92023049328458,-0.971608512727131,3.70650185939735,-25.1768670075357,2.42861735667847,2286.2381
18,2.13894468702812,2.10659470823986,2.91793391772016,-0.971963140453989,3.69514069723759,-25.1777270360182,2.45247217138207,2286.2219
19,2.13721554033841,2.11196022371427,2.91759177167256,-0.971533632443861,3.68882954441491,-25.178199817667,2.45901309440484,2286.2516
20,2.13873851183789,2.1072344666711,2.91789312186006,-0.97191192797085,3.69438818552676,-25.1777834082433,2.45325207979383,2286.2213
21,2.13706179749802,2.10790301394095,2.91868409958818,-0.971077551843976,3.69532143083566,-25.1777145805697,2.45254660116101,2286.2201
22,2.13697984623467,2.10801332943442,2.91883458888383,-0.971050239570379,3.69528434954152,-25.1777223824215,2.45299904467507,2286.22
1,2.21156569460688,2.11625551480255,2.92852352386054,-1.20497330465952,3.9902390341261,-25.1564682965436,2.22990049292744,2286.0446
2,2.27137673616901,1.9081541876449,2.58999286033983,-0.290740448085005,4.04186096368605,-25.1521117394422,2.22708135173872,2491.556
3,2.22324242234721,2.07562852560195,2.86243321199767,-1.02649040453488,4.00031702643586,-25.1556177791503,2.22935012056704,2268.3563
4,2.22183439078924,2.02206188546683,2.91554482439777,-0.977252002114109,4.00946543045453,-25.1549008565883,2.23813113163385,2273.3372
5,2.22277980909242,2.05802903530587,2.87988320148155,-1.01031297053094,4.00332276372581,-25.1553822319582,2.23223514973203,2266.4539
6,2.22221015657789,2.06436330878928,2.8872743247542,-1.02010161530269,4.00516018456179,-25.1552497652782,2.23467161605845,2266.1404
7,2.22347963771169,2.08078114598043,2.90260509591588,-1.01513562459974,4.01839753254136,-25.1542556047568,2.24770470791087,2265.4943
8,2.22932503295913,2.09287134696382,2.91350253394109,-1.00011548567526,4.04481072727928,-25.1522605903104,2.27038009387602,2265.0408
9,2.23760043828581,2.0912773969697,2.9132846807268,-0.995666576922056,4.07033469891029,-25.1503302560955,2.2874606992703,2264.8438
10,2.24887454521524,2.08715333897947,2.91110797595061,-0.994658713908545,4.09465698978441,-25.1484907657743,2.28810428636502,2264.756
11,2.25717405226886,2.08636623957858,2.91008912711877,-0.99503589642484,4.11291067161761,-25.1471101288127,2.28102786292674,2264.7231
12,2.27482174638684,2.08202069947347,2.91414547989526,-0.995571761123499,4.15290110259223,-25.144085373034,2.26083119023243,2264.7132
13,2.27329133336705,2.08509173243519,2.91327830328104,-0.996112382150627,4.14942076316286,-25.1443487873853,2.25557203663477,2264.664
14,2.27456226796644,2.08714501368663,2.9144389267117,-0.996952162978923,4.15290244764843,-25.144085359762,2.24362435921395,2264.6414
15,2.27665269064144,2.08844398862123,2.9165130581394,-0.996897758140175,4.16173227730584,-25.1434153495237,2.22994969825795,2264.6279
16,2.27231011022809,2.08919136375487,2.91782608259275,-0.994418729216087,4.17540397690047,-25.1423636376737,2.21929750370174,2264.6077
17,2.25319020330704,2.09063424488157,2.920065983894,-0.995391312986527,4.19906260260468,-25.1405195904816,2.20277119132335,2264.5841
18,2.24856877918355,2.08922463109874,2.91734477830979,-0.994157312699447,4.20847343062659,-25.1397849768173,2.19818921132923,2264.5756
19,2.24793734816342,2.0881001769487,2.91665269313627,-0.994761968506158,4.20511065283403,-25.1400372099168,2.20255439535883,2264.5742
20,2.2475711118172,2.08825605466228,2.91656458450537,-0.995322277014448,4.20495069537836,-25.1400462464899,2.2025391539297,2264.5739
1,2.21156569460688,2.11625551480255,2.92852352386054,-1.20497330465952,3.9902390341261,-25.1564682965436,2.22990049292744,2213.369
2,2.21625415023777,2.64581249196672,2.17096905647466,-0.823406236938851,3.98263620823348,-25.1569011155533,2.23259080916103,5271.8186
3,2.21181095897253,2.14395791113591,2.88889403165365,-1.1850126156429,3.989841312058,-25.1564909383447,2.23004122982598,2203.5375
4,2.20850095168248,2.14156787073159,2.88678117879003,-1.16983511890567,3.98895142709348,-25.1565514653693,2.23066153655318,2202.0834
5,2.17197741694373,2.13771602073981,2.88829649746688,-1.08019364754116,3.98389579920058,-25.1569066943127,2.24360745583763,2197.5357
6,2.14899739922621,2.14212947613208,2.89090867916624,-1.06587065910731,3.9826045239706,-25.1570078222075,2.25468777156142,2197.1147
7,2.08739333210244,2.14061888632473,2.8852537809514,-1.05587651194007,3.97663359314681,-25.1574743296983,2.28573592183935,2196.4822
8,2.04536735983705,2.142417099557,2.88053947102089,-1.06512378115314,3.95962469513569,-25.1587660348096,2.30728894264346,2196.224
9,2.03558155149498,2.13198307621499,2.87588747298246,-1.07585393329353,3.94320947252746,-25.1599996973469,2.31708270777408,2196.2199
10,2.04034435121389,2.13706136527434,2.87815162267509,-1.07063151693183,3.95119883987367,-25.1593992678902,2.31231603544813,2196.1834
11,2.03812017032137,2.1352012533868,2.87266254091515,-1.07793897042463,3.94117762544656,-25.1601518078765,2.31607754702399,2196.1281
12,2.04065560160669,2.13469337440085,2.87181873495829,-1.07915994927371,3.93660528715182,-25.1604930739477,2.31664928687787,2196.1127
13,2.04609748845012,2.13393963126001,2.8701833069748,-1.08117651792436,3.91572969707164,-25.1620530636926,2.32284206355792,2196.0612
14,2.04881188358145,2.13445051959113,2.87002749887643,-1.08110366034934,3.88633302317061,-25.1642554077619,2.33656840176254,2196.0016
15,2.05455871094545,2.13438742253165,2.86970533924542,-1.07850955169538,3.84522688196851,-25.1673999321918,2.3787503885011,2195.9077
16,2.05062524668837,2.14401391298226,2.88251656167789,-1.10372578770949,3.7899191050912,-25.1718000354411,2.42635738453097,2196.452
17,2.05417873274631,2.13531735509655,2.87094292141486,-1.08094547568594,3.83988407265769,-25.1678249883763,2.38334929151275,2195.9014
18,2.05407965229046,2.13613927040345,2.87157142187311,-1.07735619092803,3.82901793709406,-25.1686845940813,2.40279970370438,2195.88
19,2.05670418208514,2.12877010396922,2.87435274837697,-1.07199650170505,3.83253413567878,-25.1684426498301,2.39823397623827,2196.0259
20,2.05423585069531,2.13570069582736,2.87173695200508,-1.07703721001616,3.82922720300188,-25.168670194814,2.40252797527949,2195.8794
21,2.05381658998319,2.13605997541203,2.87200369217607,-1.07610710159537,3.82827715855881,-25.1687543165744,2.40617499693304,2195.8783
22,2.05269107055582,2.13670409857182,2.87256631973846,-1.07540193003105,3.8305458707947,-25.1686173309405,2.40331369882499,2195.8781
