"iter","eval_type","client","objf","grad_lka","grad_lcl","grad_lvc","grad_CcPropSd","grad_pchol__omega_cl_v__etaLcl__etaLcl","grad_pchol__omega_cl_v__etaLcl__etaLvc","grad_pchol__omega_cl_v__etaLvc__etaLvc"
1,"fn","http://client1:8000",889.1441,19.3276,-32.8823,33.993,-19.4385,-4.735,4.3394,4.2892
1,"fn","http://client2:8000",673.268,-2.0712,-52.4686,13.1825,-9.9873,1.4287,4.5701,-15.5614
1,"fn","http://client3:8000",689.6078,-0.4836,-22.9448,-52.4975,-8.5956,2.3917,3.7421,-9.843
1,"gr","http://client1:8000",889.1441,19.3276,-32.8823,33.993,-19.4385,-4.735,4.3394,4.2892
1,"gr","http://client2:8000",673.268,-2.0712,-52.4686,13.1825,-9.9873,1.4287,4.5701,-15.5614
1,"gr","http://client3:8000",689.6078,-0.4836,-22.9448,-52.4975,-8.5956,2.3917,3.7421,-9.843
2,"fn","http://client1:8000",1184.4699,28.7479,734.162,-303.1958,-105.4157,510.3387,-0.4737,13.1423
2,"fn","http://client2:8000",878.7587,1.9858,534.8733,-256.9969,-58.7881,353.2537,-3.9576,-1.7353
2,"fn","http://client3:8000",919.2871,8.1972,563.129,-320.8462,-58.547,381.4606,-13.1894,4.9305
2,"gr","http://client1:8000",1184.4699,28.7479,734.162,-303.1958,-105.4157,510.3387,-0.4737,13.1423
2,"gr","http://client2:8000",878.7587,1.9858,534.8733,-256.9969,-58.7881,353.2537,-3.9576,-1.7353
2,"gr","http://client3:8000",919.2871,8.1972,563.129,-320.8462,-58.547,381.4606,-13.1894,4.9305
3,"fn","http://client1:8000",888.1799,19.7269,18.6692,15.5814,-18.5586,-5.2807,4.6972,4.5447
3,"fn","http://client2:8000",670.8357,-1.9628,-12.4669,-2.0734,-8.1531,-2.3845,4.5085,-14.8835
3,"fn","http://client3:8000",688.9126,0.0808,16.7408,-67.6341,-7.1428,0.1644,2.8745,-9.3121
3,"gr","http://client1:8000",888.1799,19.7269,18.6692,15.5814,-18.5586,-5.2807,4.6972,4.5447
3,"gr","http://client2:8000",670.8357,-1.9628,-12.4669,-2.0734,-8.1531,-2.3845,4.5085,-14.8835
3,"gr","http://client3:8000",688.9126,0.0808,16.7408,-67.6341,-7.1428,0.1644,2.8745,-9.3121
4,"fn","http://client1:8000",888.3159,17.7921,16.109,29.1819,-15.8799,-4.9792,4.6414,6.0995
4,"fn","http://client2:8000",670.4811,-3.48,-14.5901,8.1633,-5.5414,-2.2833,4.4072,-13.8725
4,"fn","http://client3:8000",687.3326,-1.1237,14.7375,-57.5847,-3.6512,0.3978,2.9254,-10.2467
4,"gr","http://client1:8000",888.3159,17.7921,16.109,29.1819,-15.8799,-4.9792,4.6414,6.0995
4,"gr","http://client2:8000",670.4811,-3.48,-14.5901,8.1633,-5.5414,-2.2833,4.4072,-13.8725
4,"gr","http://client3:8000",687.3326,-1.1237,14.7375,-57.5847,-3.6512,0.3978,2.9254,-10.2467
5,"fn","http://client1:8000",888.4053,14.5944,11.3064,43.3544,-8.4816,-4.7037,4.304,7.9374
5,"fn","http://client2:8000",670.1347,-5.807,-18.3133,18.73,1.1392,-2.3484,4.1137,-11.801
5,"fn","http://client3:8000",685.8787,-2.576,11.4403,-47.4048,3.8561,0.2966,2.8083,-10.4597
5,"gr","http://client1:8000",888.4053,14.5944,11.3064,43.3544,-8.4816,-4.7037,4.304,7.9374
5,"gr","http://client2:8000",670.1347,-5.807,-18.3133,18.73,1.1392,-2.3484,4.1137,-11.801
5,"gr","http://client3:8000",685.8787,-2.576,11.4403,-47.4048,3.8561,0.2966,2.8083,-10.4597
6,"fn","http://client1:8000",888.0186,13.2791,9.5823,44.3101,-4.3901,-4.1618,4.0121,8.3813
6,"fn","http://client2:8000",669.8131,-6.8674,-19.752,19.217,4.8231,-2.153,3.9054,-10.5887
6,"fn","http://client3:8000",685.7669,-2.8853,10.6931,-47.8408,7.3373,0.3246,2.625,-9.7809
6,"gr","http://client1:8000",888.0186,13.2791,9.5823,44.3101,-4.3901,-4.1618,4.0121,8.3813
6,"gr","http://client2:8000",669.8131,-6.8674,-19.752,19.217,4.8231,-2.153,3.9054,-10.5887
6,"gr","http://client3:8000",685.7669,-2.8853,10.6931,-47.8408,7.3373,0.3246,2.625,-9.7809
7,"fn","http://client1:8000",887.6685,10.3051,9.9749,51.7317,-6.1078,-0.8237,3.51,11.8012
7,"fn","http://client2:8000",668.9765,-10.5163,-20.946,23.7198,5.0028,-0.2939,3.487,-6.5671
7,"fn","http://client3:8000",685.3445,-4.3471,12.3398,-49.0084,6.9904,2.0872,2.2578,-7.3441
7,"gr","http://client1:8000",887.6685,10.3051,9.9749,51.7317,-6.1078,-0.8237,3.51,11.8012
7,"gr","http://client2:8000",668.9765,-10.5163,-20.946,23.7198,5.0028,-0.2939,3.487,-6.5671
7,"gr","http://client3:8000",685.3445,-4.3471,12.3398,-49.0084,6.9904,2.0872,2.2578,-7.3441
8,"fn","http://client1:8000",885.6824,11.2576,5.6684,24.385,2.219,-1.9345,2.6097,8.8344
8,"fn","http://client2:8000",668.2687,-9.5383,-23.6371,2.6561,12.1538,-1.2183,2.9284,-5.8267
8,"fn","http://client3:8000",687.8227,-1.5685,12.3861,-72.7292,10.9265,0.3712,1.639,-5.3555
8,"gr","http://client1:8000",885.6824,11.2576,5.6684,24.385,2.219,-1.9345,2.6097,8.8344
8,"gr","http://client2:8000",668.2687,-9.5383,-23.6371,2.6561,12.1538,-1.2183,2.9284,-5.8267
8,"gr","http://client3:8000",687.8227,-1.5685,12.3861,-72.7292,10.9265,0.3712,1.639,-5.3555
9,"fn","http://client1:8000",886.4452,10.0952,6.9647,40.9554,-5.8869,-0.1911,2.8711,11.6212
9,"fn","http://client2:8000",668.1097,-11.3166,-23.7187,14.8422,6.2231,0.0499,3.0637,-4.8351
9,"fn","http://client3:8000",686.328,-3.3287,12.4058,-62.6047,6.2492,1.9862,1.8339,-5.3557
9,"gr","http://client1:8000",886.4452,10.0952,6.9647,40.9554,-5.8869,-0.1911,2.8711,11.6212
9,"gr","http://client2:8000",668.1097,-11.3166,-23.7187,14.8422,6.2231,0.0499,3.0637,-4.8351
9,"gr","http://client3:8000",686.328,-3.3287,12.4058,-62.6047,6.2492,1.9862,1.8339,-5.3557
10,"fn","http://client1:8000",886.6485,10.0897,8.6423,43.0097,-8.7145,0.1754,2.865,12.4966
10,"fn","http://client2:8000",667.9242,-11.6201,-22.7078,16.0878,4.3961,0.2446,3.047,-4.3057
10,"fn","http://client3:8000",686.127,-3.4506,13.8622,-62.7411,4.4426,2.2877,1.8199,-5.0125
10,"gr","http://client1:8000",886.6485,10.0897,8.6423,43.0097,-8.7145,0.1754,2.865,12.4966
10,"gr","http://client2:8000",667.9242,-11.6201,-22.7078,16.0878,4.3961,0.2446,3.047,-4.3057
10,"gr","http://client3:8000",686.127,-3.4506,13.8622,-62.7411,4.4426,2.2877,1.8199,-5.0125
11,"fn","http://client1:8000",887.2509,9.9204,0.8166,52.0289,-14.4016,0.0492,2.6408,14.2877
11,"fn","http://client2:8000",667.5754,-12.1342,-29.3508,22.5208,1.3877,0.4646,2.8755,-2.8311
11,"fn","http://client3:8000",685.4323,-3.4396,8.5981,-60.2482,1.6479,2.3682,1.7833,-4.0444
11,"gr","http://client1:8000",887.2509,9.9204,0.8166,52.0289,-14.4016,0.0492,2.6408,14.2877
11,"gr","http://client2:8000",667.5754,-12.1342,-29.3508,22.5208,1.3877,0.4646,2.8755,-2.8311
11,"gr","http://client3:8000",685.4323,-3.4396,8.5981,-60.2482,1.6479,2.3682,1.7833,-4.0444
12,"fn","http://client1:8000",887.7797,11.3964,9.7103,48.4174,-19.7532,-0.7326,2.4836,15.3926
12,"fn","http://client2:8000",666.6504,-11.0647,-22.5617,18.7903,-0.9832,-0.5137,2.7349,-1.8941
12,"fn","http://client3:8000",685.2565,-2.1593,16.7159,-67.5572,-1.1321,1.7878,1.597,-3.0484
12,"gr","http://client1:8000",887.7797,11.3964,9.7103,48.4174,-19.7532,-0.7326,2.4836,15.3926
