"iter","lka","lcl","lvc","CcPropSd","pchol__omega_cl_v__etaLcl__etaLcl","pchol__omega_cl_v__etaLcl__etaLvc","pchol__omega_cl_v__etaLvc__etaLvc","objf"
1,2.21156569460688,2.11625551480255,2.92852352386054,-1.20497330465952,1.90749368460615,-1.2692554035392,1.84661086787454,2252.0199
2,2.0702630565588,3.02859383036486,2.97335877138581,-0.884661602243627,1.91519874236388,-1.37583894686703,2.02449610247537,2982.5157
3,2.20179431883079,2.17934563569082,2.93162397589481,-1.18282307411167,1.90802650561903,-1.27662588060735,1.85891200744499,2247.9282
4,2.19162458738548,2.18735164830695,2.9550753746437,-1.1625229136367,1.91130514880905,-1.2837209124717,1.87054033675742,2246.1296
5,2.1682441929173,2.19525546711312,2.97811049412304,-1.11632089040846,1.92173730138333,-1.30530960003689,1.90322714408196,2244.4187
6,2.14989688345385,2.19496851614408,2.97623192217524,-1.09261269674328,1.93476355917255,-1.32847568606393,1.93509589711858,2243.5986
7,2.0999194234267,2.19436224114603,2.96984375495396,-1.07851867406248,1.97859428143869,-1.40894380721568,2.03663135569493,2241.9895
8,2.07653860493848,2.17046802459377,2.91620172581581,-1.05155622336271,2.00007650732476,-1.53304543951416,2.13028519955252,2241.7738
9,2.07546489978479,2.17849907157465,2.93744751700162,-1.07526892792917,2.00417307379474,-1.52134404575107,2.12638423615211,2240.8829
10,2.07642808052155,2.17997460909478,2.93873700179891,-1.08347074828454,2.00609829111179,-1.54332031550917,2.13726455399853,2240.6997
11,2.08750019181297,2.17155049111656,2.94130009239071,-1.09915309036102,2.00691476296813,-1.64621233667629,2.17542258425923,2240.2586
12,2.11060697626718,2.17817805448322,2.93895639145911,-1.11167662471195,2.00111882770759,-1.77389450710141,2.20752676868716,2239.6866
13,2.14116075558299,2.17784434979372,2.93868206385448,-1.1084810537344,1.99249571090307,-1.9416898543572,2.24010585321603,2238.9079
14,2.22274024414554,2.1904278579135,2.96210321994632,-1.07063503290076,1.99918950274885,-2.52681792577617,2.32930559068285,2236.4982
15,2.33663612828478,2.16594486683283,2.92784994664314,-1.02676067040809,2.07747581984133,-3.66719951456341,2.47281565642854,2235.6315
16,2.32987937029179,2.17884556514966,2.95961044024522,-1.03122530068908,2.08083913551033,-3.69030502842704,2.46465479507674,2234.1
17,2.30318193492116,2.18305330950095,2.96533706571274,-1.03926478351343,2.09843806965236,-3.65585057862526,2.43785693891477,2233.4923
18,2.2443542317068,2.18394076308384,2.96913336587078,-1.05209824687208,2.15741873252974,-3.8160991961313,2.38270713592095,2232.1908
19,2.17580304717798,2.20794679977311,2.9712012223113,-1.06637332465536,2.22447801412909,-4.27973533424333,2.31211874115001,2230.8745
20,2.1416967627758,2.19631870480946,2.97003087854345,-1.0641032823742,2.3164579118986,-5.22332956754589,2.28263439564053,2228.4547
21,2.12902095489022,2.18483105299556,2.96408117891979,-1.04606305984129,2.47958521123483,-7.55716325488102,2.26009551581307,2224.4368
22,2.1855431556196,2.16956694021706,2.94413344990479,-1.05794796908826,2.62325066913541,-9.70302973031857,2.25754419166534,2222.7693
23,2.2001840142656,2.1726169914325,2.96485592833899,-1.05992953555434,2.72665037207323,-11.2860196776238,2.23841488589241,2222.4912
24,2.20925516631827,2.17027977814426,2.95620515619215,-1.05642354036364,2.71746630723508,-11.133920212817,2.24974484359545,2222.2773
25,2.21266125467653,2.17148052292942,2.95522320953594,-1.05419779755046,2.73287149122853,-11.3029557392924,2.25084217228313,2222.2201
26,2.22238857302271,2.17575527177237,2.95585683581442,-1.04742044943159,2.78989054074685,-11.9280691267665,2.25203877230688,2222.0944
27,2.23470921320961,2.17873087393555,2.95832846497956,-1.03996175913175,2.86413110471199,-12.7224691067629,2.25393630467129,2221.9598
28,2.26190248246879,2.18040584723009,2.96365435839577,-1.02669331637443,3.02392575450622,-14.2986272058136,2.2657721704004,2221.6952
29,2.27691995150761,2.20674844690224,2.98243878573431,-1.0407396847437,3.34184453186481,-17.5430268630698,2.24830479500209,2222.1502
30,2.26584664332037,2.18732441986621,2.96858786634817,-1.03038242910612,3.10742336601442,-15.1507304518366,2.26118457058263,2221.6288
31,2.27748290697556,2.18402285869383,2.97269664331851,-1.02839999376636,3.2073861253579,-16.137705658095,2.26420162798535,2221.4591
32,2.27998929762805,2.18069082110268,2.97415858527907,-1.0316150093128,3.26495344742517,-16.7188683520115,2.26195544926362,2221.3926
33,2.28082801249552,2.17844102577827,2.97336114914022,-1.03413368586131,3.30556349870104,-17.1436443473001,2.25910896291658,2221.3586
34,2.28263066247197,2.17386491696717,2.9692094276874,-1.03795754777435,3.40737914811221,-18.2181264568619,2.25222793810164,2221.2962
35,2.26817622300086,2.17162116355358,2.96767450012066,-1.04340567816375,3.48161362929873,-19.123771614006,2.23382748189704,2221.2525
36,2.268595067493,2.17196665793656,2.96589090995124,-1.03693574243258,3.65055086414406,-20.9453570112403,2.22545387267815,2221.1809
37,2.26390028248211,2.17355233123968,2.96680666586334,-1.03281505949505,3.67972044478151,-21.3085760292651,2.22213655217981,2221.1604
38,2.26047441218873,2.17373759772844,2.96812784931756,-1.02934469105645,3.72611533920341,-21.8644912998028,2.22291678774501,2221.1452
39,2.25055916718462,2.17594056015221,2.968705052265,-1.02774123347773,3.75211218076994,-22.2853444808797,2.22527462160672,2221.1235
40,2.24180021245953,2.17458349658396,2.96738260894791,-1.02615059720777,3.80716728477901,-23.094357550475,2.23587172569478,2221.0835
41,2.23018046838513,2.17308512395949,2.96287205824947,-1.02716928951678,3.85978807344853,-24.1384149833174,2.26688472379655,2221.015
42,2.22323160009056,2.16885347963349,2.96288144100101,-1.0390564052053,3.77901399881533,-23.7904506243311,2.29634509526811,2221.0871
43,2.2282292552623,2.17189689595026,2.96287469288682,-1.03050714183184,3.83710705148527,-24.0407080482093,2.27515707275785,2221.0021
44,2.23128045152964,2.17066181925871,2.96051203562063,-1.03230121079296,3.83340296122572,-24.1369350399884,2.28729676432173,2220.9825
45,2.2367659002242,2.17040135438472,2.95959716869794,-1.03369572383828,3.8176334697739,-24.043116688542,2.29321537923338,2220.9701
46,2.24410636850854,2.17052435517241,2.95962272990423,-1.03377064627172,3.81139918357658,-24.0779501726045,2.29881955019337,2220.9562
47,2.25448201358581,2.17186162385511,2.96157752259788,-1.03196513256662,3.83281364920381,-24.4943829514858,2.30582893551086,2220.9355
48,2.26330617118737,2.17489126079933,2.96339398782587,-1.03327541006068,3.86398557626714,-25.0599633113973,2.2944796428686,2220.9285
49,2.27141778899085,2.16971800324821,2.96505991189971,-1.03523407648367,3.89685832688784,-25.7585115832124,2.30891433540732,2220.9475
50,2.26628538637906,2.1729912393905,2.96400584435428,-1.03399478428469,3.87605899989416,-25.3165244159686,2.29978118151855,2220.9187
51,2.26326369790446,2.17319458366531,2.96455091487482,-1.03159209534007,3.89885486893615,-25.5366362846046,2.30108197086814,2220.9053
52,2.26864968385861,2.17056500791281,2.96181504719233,-1.03016666981392,3.99884725005128,-26.9544705643497,2.31626711639852,2220.8878
53,2.26419640244375,2.17205421046422,2.96433242340916,-1.02774986261114,4.11301189860619,-28.3030824541332,2.30403011029132,2220.8552
54,2.26406335719524,2.17209127003767,2.96499058196385,-1.0284257202423,4.25832341874417,-30.1922459392501,2.28902264961378,2220.8212
55,2.27923037035115,2.1789234688292,2.97050795501832,-1.02911884749449,4.68191979019434,-36.785527162539,2.31272563232533,2220.8582
56,2.26990119606758,2.17472100835719,2.96711423904514,-1.02869250745839,4.42136721240433,-32.7300240123557,2.29814601440825,2220.8002
57,2.27699967539967,2.17114397542025,2.96706067298114,-1.0294987703183,4.62537889607362,-35.9139826261236,2.2928178950302,2220.7701
58,2.28095544836351,2.17281085627413,2.96524444966818,-1.03059607691675,4.77798096976817,-38.42208611231,2.27958393872285,2220.7447
59,2.28513000346883,2.17261421724532,2.96595305774756,-1.03025809744709,4.87326137034883,-40.028556200865,2.28737512399063,2220.7347
60,2.28597773056987,2.173092732195,2.96759820541678,-1.03019900109247,4.93228489669655,-41.3186418103151,2.2952944050467,2220.7244
